card_id,pokemon_name,pokedex_number,types,rarity,artist,image_url,community_score,llm_score,feature_bonus,final_cuteness,cuteness_tier,llm_reason
basep-30,Togepi,175.0,Colorless,Promo,Ken Sugimori,https://images.pokemontcg.io/basep/30_hires.png,9.25,5.0,2.0,9.4872,S,
ecard2-114,Togepi,175.0,Colorless,Common,Miki Tanaka,https://images.pokemontcg.io/ecard2/114_hires.png,9.25,5.0,2.0,9.4872,S,
sm10-134,Jigglypuff,39.0,Fairy,Common,Yumi,https://images.pokemontcg.io/sm10/134_hires.png,9.25,5.0,2.0,9.4872,S,
pl4-25,Pichu,172.0,Lightning,Rare,Kanako Eo,https://images.pokemontcg.io/pl4/25_hires.png,9.25,5.0,2.0,9.4872,S,
sv3-83,Togepi,175.0,Psychic,Common,Natsumi Yoshida,https://images.pokemontcg.io/sv3/83_hires.png,9.25,5.0,2.0,9.4872,S,
bw7-110,Togepi,175.0,Colorless,Common,Ken Sugimori,https://images.pokemontcg.io/bw7/110_hires.png,9.25,5.0,2.0,9.4872,S,
hgss1-28,Pichu,172.0,Lightning,Rare,match,https://images.pokemontcg.io/hgss1/28_hires.png,9.25,5.0,2.0,9.4872,S,
bw8-102,Togepi,175.0,Colorless,Common,Kanako Eo,https://images.pokemontcg.io/bw8/102_hires.png,9.25,5.0,2.0,9.4872,S,
ex9-59,Pichu,172.0,Lightning,Common,Nakaoka,https://images.pokemontcg.io/ex9/59_hires.png,9.25,5.0,2.0,9.4872,S,
xy1-88,Jigglypuff,39.0,Fairy,Common,Sanosuke Sakuma,https://images.pokemontcg.io/xy1/88_hires.png,9.25,5.0,2.0,9.4872,S,
ex16-21,Pichu,172.0,Lightning,Rare,Ken Sugimori,https://images.pokemontcg.io/ex16/21_hires.png,9.25,5.0,2.0,9.4872,S,
swsh10-55,Togepi,175.0,Psychic,Common,Mizue,https://images.pokemontcg.io/swsh10/55_hires.png,9.25,5.0,2.0,9.4872,S,
ex5-78,Togepi,175.0,Colorless,Common,Nakaoka,https://images.pokemontcg.io/ex5/78_hires.png,9.25,5.0,2.0,9.4872,S,
pop9-11,Pichu,172.0,Lightning,Uncommon,Midori Harada,https://images.pokemontcg.io/pop9/11_hires.png,9.25,5.0,2.0,9.4872,S,
hgss3-70,Togepi,175.0,Colorless,Common,Atsuko Nishida,https://images.pokemontcg.io/hgss3/70_hires.png,9.25,5.0,2.0,9.4872,S,
sm4-71,Jigglypuff,39.0,Fairy,Common,You Iribi,https://images.pokemontcg.io/sm4/71_hires.png,9.25,5.0,2.0,9.4872,S,
xy9-81,Clefairy,35.0,Fairy,Common,Tomokazu Komiya,https://images.pokemontcg.io/xy9/81_hires.png,9.2,5.0,2.0,9.4359,S,
xy3-70,Clefairy,35.0,Fairy,Common,match,https://images.pokemontcg.io/xy3/70_hires.png,9.2,5.0,2.0,9.4359,S,
xy3-69,Clefairy,35.0,Fairy,Common,Naoyo Kimura,https://images.pokemontcg.io/xy3/69_hires.png,9.2,5.0,2.0,9.4359,S,
xy12-63,Clefairy,35.0,Fairy,Rare Holo,Ken Sugimori,https://images.pokemontcg.io/xy12/63_hires.png,9.2,5.0,2.0,9.4359,S,
sm2-88,Clefairy,35.0,Fairy,Common,Kagemaru Himeno,https://images.pokemontcg.io/sm2/88_hires.png,9.2,5.0,2.0,9.4359,S,
sm12-144,Clefairy,35.0,Fairy,Uncommon,Mina Nakai,https://images.pokemontcg.io/sm12/144_hires.png,9.2,5.0,2.0,9.4359,S,
sm10-132,Clefairy,35.0,Fairy,Common,0313,https://images.pokemontcg.io/sm10/132_hires.png,9.2,5.0,2.0,9.4359,S,
sm115-38,Clefairy,35.0,Fairy,Common,Saya Tsuruta,https://images.pokemontcg.io/sm115/38_hires.png,9.2,5.0,2.0,9.4359,S,
sm115-39,Clefairy,35.0,Fairy,Common,kirisAki,https://images.pokemontcg.io/sm115/39_hires.png,9.2,5.0,2.0,9.4359,S,
g1-50,Clefairy,35.0,Fairy,Common,Shibuzoh.,https://images.pokemontcg.io/g1/50_hires.png,9.2,5.0,2.0,9.4359,S,
sv3-202,Cleffa,173.0,Psychic,Illustration Rare,HYOGONOSUKE,https://images.pokemontcg.io/sv3/202_hires.png,9.15,5.0,2.0,9.3846,S,
mcd15-10,Marill,183.0,Fairy,,Shigenori Negishi,https://images.pokemontcg.io/mcd15/10_hires.png,9.15,5.0,2.0,9.3846,S,
hgss1-17,Cleffa,173.0,Colorless,Rare,Masakazu Fukuda,https://images.pokemontcg.io/hgss1/17_hires.png,9.15,5.0,2.0,9.3846,S,
xy5-102,Marill,183.0,Fairy,Common,Shigenori Negishi,https://images.pokemontcg.io/xy5/102_hires.png,9.15,5.0,2.0,9.3846,S,
ecard3-48,Cleffa,173.0,Colorless,Common,Miki Tanaka,https://images.pokemontcg.io/ecard3/48_hires.png,9.15,5.0,2.0,9.3846,S,
ex10-21,Cleffa,173.0,Colorless,Rare,Yuka Morii,https://images.pokemontcg.io/ex10/21_hires.png,9.15,5.0,2.0,9.3846,S,
hsp-HGSS12,Cleffa,173.0,Colorless,Promo,Masakazu Fukuda,https://images.pokemontcg.io/hsp/HGSS12_hires.png,9.15,5.0,2.0,9.3846,S,
cel25c-20_A,Cleffa,173.0,Colorless,Classic Collection,Kagemaru Himeno,https://images.pokemontcg.io/cel25c/20_A_hires.png,9.15,5.0,2.0,9.3846,S,
sm8-135,Marill,183.0,Fairy,Common,Ken Sugimori,https://images.pokemontcg.io/sm8/135_hires.png,9.15,5.0,2.0,9.3846,S,
col1-24,Cleffa,173.0,Colorless,Rare,sui,https://images.pokemontcg.io/col1/24_hires.png,9.15,5.0,2.0,9.3846,S,
svp-37,Cleffa,173.0,Psychic,Promo,Mina Nakai,https://images.pokemontcg.io/svp/37_hires.png,9.15,5.0,2.0,9.3846,S,
svp-95,Cleffa,173.0,Psychic,Promo,Tika Matsuno,https://images.pokemontcg.io/svp/95_hires.png,9.15,5.0,2.0,9.3846,S,
sv4pt5-150,Cleffa,173.0,Psychic,Shiny Rare,Mizue,https://images.pokemontcg.io/sv4pt5/150_hires.png,9.15,5.0,2.0,9.3846,S,
basep-31,Cleffa,173.0,Colorless,Promo,Ken Sugimori,https://images.pokemontcg.io/basep/31_hires.png,9.15,5.0,2.0,9.3846,S,
neo1-20,Cleffa,173.0,Colorless,Rare,Kagemaru Himeno,https://images.pokemontcg.io/neo1/20_hires.png,9.15,5.0,2.0,9.3846,S,
sv3-80,Cleffa,173.0,Psychic,Common,kurumitsu,https://images.pokemontcg.io/sv3/80_hires.png,9.15,5.0,2.0,9.3846,S,
hgss1-44,Igglybuff,174.0,Colorless,Uncommon,Atsuko Nishida,https://images.pokemontcg.io/hgss1/44_hires.png,9.1,5.0,2.0,9.3333,S,
ecard3-67,Igglybuff,174.0,Colorless,Common,Keiko Fukuyama,https://images.pokemontcg.io/ecard3/67_hires.png,9.1,5.0,2.0,9.3333,S,
basep-36,Igglybuff,174.0,Colorless,Promo,Kagemaru Himeno,https://images.pokemontcg.io/basep/36_hires.png,9.1,5.0,2.0,9.3333,S,
sm12-168,Igglybuff,174.0,Colorless,Uncommon,Kagemaru Himeno,https://images.pokemontcg.io/sm12/168_hires.png,9.1,5.0,2.0,9.3333,S,
ex5-37,Igglybuff,174.0,Colorless,Uncommon,Naoyo Kimura,https://images.pokemontcg.io/ex5/37_hires.png,9.1,5.0,2.0,9.3333,S,
neo2-40,Igglybuff,174.0,Colorless,Uncommon,Miki Tanaka,https://images.pokemontcg.io/neo2/40_hires.png,9.1,5.0,2.0,9.3333,S,
ex14-21,Igglybuff,174.0,Colorless,Rare,Miki Tanaka,https://images.pokemontcg.io/ex14/21_hires.png,9.1,5.0,2.0,9.3333,S,
mcd17-10,Cutiefly,742.0,Fairy,,Hitoshi Ariga,https://images.pokemontcg.io/mcd17/10_hires.png,9.0,5.0,2.0,9.2308,S,
ex2-31,Azurill,298.0,Colorless,Uncommon,Kagemaru Himeno,https://images.pokemontcg.io/ex2/31_hires.png,9.0,5.0,2.0,9.2308,S,
ex11-20,Azurill,298.0,Colorless,Rare,Midori Harada,https://images.pokemontcg.io/ex11/20_hires.png,9.0,5.0,2.0,9.2308,S,
sm8-145,Cutiefly,742.0,Fairy,Common,Midori Harada,https://images.pokemontcg.io/sm8/145_hires.png,9.0,5.0,2.0,9.2308,S,
sm3-95,Cutiefly,742.0,Fairy,Common,Atsuko Nishida,https://images.pokemontcg.io/sm3/95_hires.png,9.0,5.0,2.0,9.2308,S,
dp1-69,Azurill,298.0,Colorless,Common,Ken Sugimori,https://images.pokemontcg.io/dp1/69_hires.png,9.0,5.0,2.0,9.2308,S,
sm1-92,Cutiefly,742.0,Fairy,Common,Hitoshi Ariga,https://images.pokemontcg.io/sm1/92_hires.png,9.0,5.0,2.0,9.2308,S,
sm2-93,Comfey,764.0,Fairy,Rare Holo,Sanosuke Sakuma,https://images.pokemontcg.io/sm2/93_hires.png,9.0,5.0,2.0,9.2308,S,
sm3-91,Ralts,280.0,Fairy,Common,Yumi,https://images.pokemontcg.io/sm3/91_hires.png,8.95,5.0,2.0,9.1795,S,
sm5-92,Morelull,755.0,Fairy,Common,Midori Harada,https://images.pokemontcg.io/sm5/92_hires.png,8.95,5.0,2.0,9.1795,S,
xy1-94,Swirlix,684.0,Fairy,Common,5ban Graphics,https://images.pokemontcg.io/xy1/94_hires.png,8.95,5.0,2.0,9.1795,S,
sma-SV34,Ralts,280.0,Fairy,Rare Shiny,Kyoko Umemoto,https://images.pokemontcg.io/sma/SV34_hires.png,8.95,5.0,2.0,9.1795,S,
xy8-100,Ralts,280.0,Fairy,Common,Aya Kusube,https://images.pokemontcg.io/xy8/100_hires.png,8.95,5.0,2.0,9.1795,S,
sm3-97,Morelull,755.0,Fairy,Common,Hitoshi Ariga,https://images.pokemontcg.io/sm3/97_hires.png,8.95,5.0,2.0,9.1795,S,
sm6-88,Dedenne,702.0,Fairy,Uncommon,Tomokazu Komiya,https://images.pokemontcg.io/sm6/88_hires.png,8.95,5.0,2.0,9.1795,S,
sm3-94,Diancie,719.0,Fairy,Rare Holo,TOKIYA,https://images.pokemontcg.io/sm3/94_hires.png,8.95,5.0,2.0,9.1795,S,
sm8-139,Ralts,280.0,Fairy,Common,Yuka Morii,https://images.pokemontcg.io/sm8/139_hires.png,8.95,5.0,2.0,9.1795,S,
mcd14-9,Swirlix,684.0,Fairy,,5ban Graphics,https://images.pokemontcg.io/mcd14/9_hires.png,8.95,5.0,2.0,9.1795,S,
g1-RC22,Diancie,719.0,Fairy,Uncommon,Mizue,https://images.pokemontcg.io/g1/RC22_hires.png,8.95,5.0,2.0,9.1795,S,
g1-RC19,Swirlix,684.0,Fairy,Uncommon,Yuka Morii,https://images.pokemontcg.io/g1/RC19_hires.png,8.95,5.0,2.0,9.1795,S,
sm11-145,Dedenne,702.0,Fairy,Uncommon,Saya Tsuruta,https://images.pokemontcg.io/sm11/145_hires.png,8.95,5.0,2.0,9.1795,S,
sm12-153,Swirlix,684.0,Fairy,Common,MAHOU,https://images.pokemontcg.io/sm12/153_hires.png,8.95,5.0,2.0,9.1795,S,
sm8-147,Morelull,755.0,Fairy,Common,You Iribi,https://images.pokemontcg.io/sm8/147_hires.png,8.95,5.0,2.0,9.1795,S,
xy7-52,Ralts,280.0,Fairy,Common,Aya Kusube,https://images.pokemontcg.io/xy7/52_hires.png,8.95,5.0,2.0,9.1795,S,
sm8-142,Dedenne,702.0,Fairy,Uncommon,Megumi Mizutani,https://images.pokemontcg.io/sm8/142_hires.png,8.95,5.0,2.0,9.1795,S,
mcd16-10,Dedenne,702.0,Fairy,,5ban Graphics,https://images.pokemontcg.io/mcd16/10_hires.png,8.95,5.0,2.0,9.1795,S,
xy0-24,Swirlix,684.0,Fairy,,5ban Graphics,https://images.pokemontcg.io/xy0/24_hires.png,8.95,5.0,2.0,9.1795,S,
sma-SV36,Diancie,719.0,Fairy,Rare Shiny,Akira Komayama,https://images.pokemontcg.io/sma/SV36_hires.png,8.95,5.0,2.0,9.1795,S,
basep-11,Eevee,133.0,Colorless,Promo,Kagemaru Himeno,https://images.pokemontcg.io/basep/11_hires.png,9.4,5.0,1.5,9.1282,S,
me2pt5-221,Budew,406.0,Grass,Illustration Rare,Yoko Hishida,https://images.scrydex.com/pokemon/me2pt5-221/large,8.9,5.0,2.0,9.1282,S,
base6-74,Eevee,133.0,Colorless,Common,Kagemaru Himeno,https://images.pokemontcg.io/base6/74_hires.png,9.4,5.0,1.5,9.1282,S,
swshp-SWSH212,Eevee,133.0,Colorless,Promo,Mizue,https://images.pokemontcg.io/swshp/SWSH212_hires.png,9.4,5.0,1.5,9.1282,S,
pgo-54,Eevee,133.0,Colorless,Common,N-DESIGN Inc.,https://images.pokemontcg.io/pgo/54_hires.png,9.4,5.0,1.5,9.1282,S,
sv8pt5-4,Budew,406.0,Grass,Common,,https://images.pokemontcg.io/sv8pt5/4_hires.png,8.9,5.0,2.0,9.1282,S,
swshp-SWSH095,Eevee,133.0,Colorless,Promo,Naoki Saito,https://images.pokemontcg.io/swshp/SWSH095_hires.png,9.4,5.0,1.5,9.1282,S,
smp-SM184,Eevee,133.0,Colorless,Promo,Mizue,https://images.pokemontcg.io/smp/SM184_hires.png,9.4,5.0,1.5,9.1282,S,
svp-43,Eevee,133.0,Colorless,Promo,saino misaki,https://images.pokemontcg.io/svp/43_hires.png,9.4,5.0,1.5,9.1282,S,
sm12-166,Eevee,133.0,Colorless,Common,Motofumi Fujiwara,https://images.pokemontcg.io/sm12/166_hires.png,9.4,5.0,1.5,9.1282,S,
sm12-167,Eevee,133.0,Colorless,Common,Hasuno,https://images.pokemontcg.io/sm12/167_hires.png,9.4,5.0,1.5,9.1282,S,
sv3pt5-133,Eevee,133.0,Colorless,Common,Narumi Sato,https://images.pokemontcg.io/sv3pt5/133_hires.png,9.4,5.0,1.5,9.1282,S,
smp-SM235,Eevee,133.0,Colorless,Promo,kirisAki,https://images.pokemontcg.io/smp/SM235_hires.png,9.4,5.0,1.5,9.1282,S,
swsh12pt5-108,Eevee V,133.0,Colorless,Rare Holo V,You Iribi,https://images.pokemontcg.io/swsh12pt5/108_hires.png,9.4,5.0,1.5,9.1282,S,
ex11-69,Eevee,133.0,Colorless,Common,Atsuko Nishida,https://images.pokemontcg.io/ex11/69_hires.png,9.4,5.0,1.5,9.1282,S,
sm10-141,Spritzee,682.0,Fairy,Common,MAHOU,https://images.pokemontcg.io/sm10/141_hires.png,8.9,5.0,2.0,9.1282,S,
hgss3-48,Eevee,133.0,Colorless,Common,Noriko Hotta,https://images.pokemontcg.io/hgss3/48_hires.png,9.4,5.0,1.5,9.1282,S,
xy2-67,Spritzee,682.0,Fairy,Common,5ban Graphics,https://images.pokemontcg.io/xy2/67_hires.png,8.9,5.0,2.0,9.1282,S,
swshp-SWSH118,Eevee,133.0,Colorless,Promo,Yuu Nishida,https://images.pokemontcg.io/swshp/SWSH118_hires.png,9.4,5.0,1.5,9.1282,S,
swshp-SWSH127,Eevee,133.0,Colorless,Promo,Souichirou Gunjima,https://images.pokemontcg.io/swshp/SWSH127_hires.png,9.4,5.0,1.5,9.1282,S,
sv3-166,Eevee,133.0,Colorless,Common,ryoma uratsuka,https://images.pokemontcg.io/sv3/166_hires.png,9.4,5.0,1.5,9.1282,S,
hgss3-47,Eevee,133.0,Colorless,Common,Kanako Eo,https://images.pokemontcg.io/hgss3/47_hires.png,9.4,5.0,1.5,9.1282,S,
mcd16-12,Eevee,133.0,Colorless,,Kouki Saitou,https://images.pokemontcg.io/mcd16/12_hires.png,9.4,5.0,1.5,9.1282,S,
ex10-55,Eevee,133.0,Colorless,Common,Miki Tanaka,https://images.pokemontcg.io/ex10/55_hires.png,9.4,5.0,1.5,9.1282,S,
swsh45-52,Eevee,133.0,Colorless,Common,so-taro,https://images.pokemontcg.io/swsh45/52_hires.png,9.4,5.0,1.5,9.1282,S,
swshp-SWSH042,Eevee,133.0,Colorless,Promo,You Iribi,https://images.pokemontcg.io/swshp/SWSH042_hires.png,9.4,5.0,1.5,9.1282,S,
swsh7-125,Eevee,133.0,Colorless,Common,Atsushi Furusawa,https://images.pokemontcg.io/swsh7/125_hires.png,9.4,5.0,1.5,9.1282,S,
sm8-155,Eevee,133.0,Colorless,Common,Sekio,https://images.pokemontcg.io/sm8/155_hires.png,9.4,5.0,1.5,9.1282,S,
col1-56,Eevee,133.0,Colorless,Common,Akira Komayama,https://images.pokemontcg.io/col1/56_hires.png,9.4,5.0,1.5,9.1282,S,
bw5-83,Eevee,133.0,Colorless,Common,MAHOU,https://images.pokemontcg.io/bw5/83_hires.png,9.4,5.0,1.5,9.1282,S,
sv7-113,Eevee,133.0,Colorless,Common,,https://images.pokemontcg.io/sv7/113_hires.png,9.4,5.0,1.5,9.1282,S,
swshp-SWSH065,Eevee V,133.0,Colorless,Promo,Kagemaru Himeno,https://images.pokemontcg.io/swshp/SWSH065_hires.png,9.4,5.0,1.5,9.1282,S,
ex2-63,Eevee,133.0,Colorless,Common,Kouki Saitou,https://images.pokemontcg.io/ex2/63_hires.png,9.4,5.0,1.5,9.1282,S,
sv8pt5-74,Eevee,133.0,Colorless,Common,,https://images.pokemontcg.io/sv8pt5/74_hires.png,9.4,5.0,1.5,9.1282,S,
swsh9tg-TG11,Eevee,133.0,Colorless,Trainer Gallery Rare Holo,Souichirou Gunjima,https://images.pokemontcg.io/swsh9tg/TG11_hires.png,9.4,5.0,1.5,9.1282,S,
sv8-143,Eevee,133.0,Colorless,Common,,https://images.pokemontcg.io/sv8/143_hires.png,9.4,5.0,1.5,9.1282,S,
dp7-33,Budew,406.0,Psychic,Uncommon,Yuka Morii,https://images.pokemontcg.io/dp7/33_hires.png,8.9,5.0,2.0,9.1282,S,
dp1-43,Budew,406.0,Grass,Uncommon,Ken Sugimori,https://images.pokemontcg.io/dp1/43_hires.png,8.9,5.0,2.0,9.1282,S,
sv8pt5-75,Eevee ex,133.0,Colorless,Double Rare,,https://images.pokemontcg.io/sv8pt5/75_hires.png,9.4,5.0,1.5,9.1282,S,
bw5-84,Eevee,133.0,Colorless,Common,Sumiyoshi Kizuki,https://images.pokemontcg.io/bw5/84_hires.png,9.4,5.0,1.5,9.1282,S,
bw9-90,Eevee,133.0,Colorless,Common,Toyste Beach,https://images.pokemontcg.io/bw9/90_hires.png,9.4,5.0,1.5,9.1282,S,
bw9-89,Eevee,133.0,Colorless,Common,Naoki Saito,https://images.pokemontcg.io/bw9/89_hires.png,9.4,5.0,1.5,9.1282,S,
sv8pt5-167,Eevee ex,133.0,Colorless,Special Illustration Rare,,https://images.pokemontcg.io/sv8pt5/167_hires.png,9.4,5.0,1.5,9.1282,S,
swsh10-119,Eevee,133.0,Colorless,Common,sowsow,https://images.pokemontcg.io/swsh10/119_hires.png,9.4,5.0,1.5,9.1282,S,
swshp-SWSH190,Eevee,133.0,Colorless,Promo,OKACHEKE,https://images.pokemontcg.io/swshp/SWSH190_hires.png,9.4,5.0,1.5,9.1282,S,
pop3-13,Eevee,133.0,Colorless,Common,Masakazu Fukuda,https://images.pokemontcg.io/pop3/13_hires.png,9.4,5.0,1.5,9.1282,S,
ecard3-54,Eevee,133.0,Colorless,Common,Sumiyoshi Kizuki,https://images.pokemontcg.io/ecard3/54_hires.png,9.4,5.0,1.5,9.1282,S,
sm115-48,Eevee,133.0,Colorless,Rare Holo,Kagemaru Himeno,https://images.pokemontcg.io/sm115/48_hires.png,9.4,5.0,1.5,9.1282,S,
neo2-38,Eevee,133.0,Colorless,Uncommon,Aya Kusube,https://images.pokemontcg.io/neo2/38_hires.png,9.4,5.0,1.5,9.1282,S,
xy3-80,Eevee,133.0,Colorless,Common,sui,https://images.pokemontcg.io/xy3/80_hires.png,9.4,5.0,1.5,9.1282,S,
swshp-SWSH175,Eevee,133.0,Colorless,Promo,Tika Matsuno,https://images.pokemontcg.io/swshp/SWSH175_hires.png,9.4,5.0,1.5,9.1282,S,
sm1-101,Eevee,133.0,Colorless,Common,Shibuzoh.,https://images.pokemontcg.io/sm1/101_hires.png,9.4,5.0,1.5,9.1282,S,
sm115-49,Eevee,133.0,Colorless,Common,Hitoshi Ariga,https://images.pokemontcg.io/sm115/49_hires.png,9.4,5.0,1.5,9.1282,S,
sma-SV41,Eevee,133.0,Colorless,Rare Shiny,kirisAki,https://images.pokemontcg.io/sma/SV41_hires.png,9.4,5.0,1.5,9.1282,S,
me2pt5-16,Budew,406.0,Grass,Common,Yoriyuki Ikegami,https://images.scrydex.com/pokemon/me2pt5-16/large,8.9,5.0,2.0,9.1282,S,
sv6-188,Eevee,133.0,Colorless,Illustration Rare,Narumi Sato,https://images.pokemontcg.io/sv6/188_hires.png,9.4,5.0,1.5,9.1282,S,
sv6pt5-50,Eevee,133.0,Colorless,Common,,https://images.pokemontcg.io/sv6pt5/50_hires.png,9.4,5.0,1.5,9.1282,S,
dp5-63,Eevee,133.0,Colorless,Common,Kagemaru Himeno,https://images.pokemontcg.io/dp5/63_hires.png,9.4,5.0,1.5,9.1282,S,
dp5-62,Eevee,133.0,Colorless,Common,Ken Sugimori,https://images.pokemontcg.io/dp5/62_hires.png,9.4,5.0,1.5,9.1282,S,
sv6-135,Eevee,133.0,Colorless,Common,satoma,https://images.pokemontcg.io/sv6/135_hires.png,9.4,5.0,1.5,9.1282,S,
mcd18-11,Eevee,133.0,Colorless,,Shibuzoh.,https://images.pokemontcg.io/mcd18/11_hires.png,9.4,5.0,1.5,9.1282,S,
ecard2-75,Eevee,133.0,Colorless,Common,Midori Harada,https://images.pokemontcg.io/ecard2/75_hires.png,9.4,5.0,1.5,9.1282,S,
pl2-59,Eevee,133.0,Colorless,Common,Naoyo Kimura,https://images.pokemontcg.io/pl2/59_hires.png,9.4,5.0,1.5,9.1282,S,
swsh8-205,Eevee,133.0,Colorless,Common,0313,https://images.pokemontcg.io/swsh8/205_hires.png,9.4,5.0,1.5,9.1282,S,
xy8-105,Spritzee,682.0,Fairy,Common,Naoyo Kimura,https://images.pokemontcg.io/xy8/105_hires.png,8.9,5.0,2.0,9.1282,S,
sm5-105,Eevee,133.0,Colorless,Common,Hideki Ishikawa,https://images.pokemontcg.io/sm5/105_hires.png,9.4,5.0,1.5,9.1282,S,
sm5-104,Eevee,133.0,Colorless,Common,Atsuko Nishida,https://images.pokemontcg.io/sm5/104_hires.png,9.4,5.0,1.5,9.1282,S,
svp-200,Eevee,133.0,Colorless,Promo,Kariya,https://images.pokemontcg.io/svp/200_hires.png,9.4,5.0,1.5,9.1282,S,
svp-174,Eevee ex,133.0,Colorless,Promo,Natsuko Shoji été,https://images.pokemontcg.io/svp/174_hires.png,9.4,5.0,1.5,9.1282,S,
xy7-63,Eevee,133.0,Colorless,Common,Kouki Saitou,https://images.pokemontcg.io/xy7/63_hires.png,9.4,5.0,1.5,9.1282,S,
svp-173,Eevee,133.0,Colorless,Promo,Makura Tami,https://images.pokemontcg.io/svp/173_hires.png,9.4,5.0,1.5,9.1282,S,
sm1-101a,Eevee,133.0,Colorless,Common,Saya Tsuruta,https://images.pokemontcg.io/sm1/101a_hires.png,9.4,5.0,1.5,9.1282,S,
bwp-BW94,Eevee,133.0,Colorless,Promo,The Pokémon Company Art Team,https://images.pokemontcg.io/bwp/BW94_hires.png,9.4,5.0,1.5,9.1282,S,
bwp-BW97,Eevee,133.0,Colorless,Promo,Akira Komayama,https://images.pokemontcg.io/bwp/BW97_hires.png,9.4,5.0,1.5,9.1282,S,
mcd19-12,Eevee,133.0,Colorless,,Atsuko Nishida,https://images.pokemontcg.io/mcd19/12_hires.png,9.4,5.0,1.5,9.1282,S,
bw11-RC14,Eevee,133.0,Colorless,Uncommon,kirisAki,https://images.pokemontcg.io/bw11/RC14_hires.png,9.4,5.0,1.5,9.1282,S,
